Date,Total.ST,Total.ST.min,Social.ST,Social.ST.min,Pickups,Pickup.1st
12/31/23,29min,29,18min,18,23,0:10
1/1/24,30min,30,24min,24,13,4:02
1/2/24,1h43min,103,1h25min,85,50,7:09
1/3/24,1h9min,69,9min,9,39,7:40
1/4/24,57min,57,34min,34,35,9:00
1/5/24,1h9min,69,3min,3,54,9:00
1/6/24,55min,55,20min,20,49,8:01
1/7/24,1h25min,85,1min,1,34,7:26
1/8/24,50min,50,27min,27,54,0:57
1/9/24,42min,42,23min,23,49,8:06
1/10/24,1h6min,66,45min,45,72,7:30
1/11/24,2h6min,126,50min,50,102,1:34
1/12/24,30min,30,16min,16,37,9:46
1/13/24,2h9min,129,22min,22,35,1:07
1/14/24,25min,25,7min,7,27,8:06
1/15/24,2h26min,146,44min,44,89,3:41
1/16/24,2h24min,144,1h3min,63,86,7:09
1/17/24,2h43min,163,1h32min,92,72,7:19
1/18/24,23min,23,9min,9,40,7:17
1/19/24,31min,31,3min,3,38,7:12
1/20/24,2h4min,124,22min,22,27,0:22
1/21/24,3h42min,222,39min,39,57,0:11
1/22/24,2h32min,152,1h37min,97,82,7:22
1/23/24,4h5min,245,2h45min,165,75,7:33
1/24/24,1h34min,94,1h22min,82,70,0:05
1/25/24,1h26min,86,58min,58,65,0:07
1/26/24,5h33min,333,2h19min,139,72,6:00
